date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-04-21,a2c_ppo,a2c,calmar,-1.1705639029453605,6.775215424900442e-16,-1.1705639029453607,-1.1705639029453603,-1.1705639029453598,-1.1705639029453598
2020-04-22,a2c_ppo,a2c,calmar,-1.0389620404091948,4.516810283266961e-16,-1.038962040409195,-1.0389620404091946,-1.0389620404091944,-1.0389620404091944
2020-04-23,a2c_ppo,a2c,calmar,-0.9946681819392528,7.904417995717182e-16,-0.9946681819392531,-0.9946681819392524,-0.994668181939252,-0.994668181939252
2020-04-24,a2c_ppo,a2c,calmar,-0.8959105189645554,1.1292025708167404e-16,-0.8959105189645554,-0.8959105189645554,-0.8959105189645553,-0.8959105189645553
2020-04-27,a2c_ppo,a2c,calmar,-0.7965247824317908,4.516810283266961e-16,-0.796524782431791,-0.7965247824317906,-0.7965247824317904,-0.7965247824317904
2020-04-28,a2c_ppo,a2c,calmar,-0.8675302269250336,5.646012854083701e-16,-0.8675302269250338,-0.8675302269250333,-0.867530226925033,-0.867530226925033
2020-04-29,a2c_ppo,a2c,calmar,-0.7958894671282196,2.2584051416334807e-16,-0.7958894671282197,-0.7958894671282195,-0.7958894671282198,-0.7958894671282198
2020-04-30,a2c_ppo,a2c,calmar,-0.8066771704483112,0.0,-0.8066771704483112,-0.8066771704483112,-0.8066771704483112,-0.8066771704483112
2020-05-01,a2c_ppo,a2c,calmar,-0.9734367966704618,4.516810283266961e-16,-0.973436796670462,-0.9734367966704616,-0.9734367966704613,-0.9734367966704613
2020-05-04,a2c_ppo,a2c,calmar,-0.9579760049019266,3.387607712450221e-16,-0.9579760049019267,-0.9579760049019265,-0.9579760049019269,-0.9579760049019269
2020-05-05,a2c_ppo,a2c,calmar,-0.8834962113546692,2.2584051416334807e-16,-0.8834962113546693,-0.883496211354669,-0.8834962113546694,-0.8834962113546694
2020-05-06,a2c_ppo,a2c,calmar,-0.9103756488069977,0.0,-0.9103756488069977,-0.9103756488069977,-0.9103756488069977,-0.9103756488069977
2020-05-07,a2c_ppo,a2c,calmar,-0.8779705136886674,5.646012854083701e-16,-0.8779705136886676,-0.8779705136886672,-0.877970513688668,-0.877970513688668
2020-05-08,a2c_ppo,a2c,calmar,-0.766729199533298,2.2584051416334807e-16,-0.7667291995332981,-0.7667291995332979,-0.7667291995332978,-0.7667291995332978
2020-05-11,a2c_ppo,a2c,calmar,-0.6949706084153106,0.0,-0.6949706084153106,-0.6949706084153106,-0.6949706084153106,-0.6949706084153106
2020-05-12,a2c_ppo,a2c,calmar,-0.8299323115379404,2.2584051416334807e-16,-0.8299323115379406,-0.8299323115379403,-0.8299323115379402,-0.8299323115379402
2020-05-13,a2c_ppo,a2c,calmar,-0.9054818305289134,5.646012854083701e-16,-0.9054818305289136,-0.9054818305289132,-0.905481830528914,-0.905481830528914
2020-05-14,a2c_ppo,a2c,calmar,-0.8606678165582017,3.387607712450221e-16,-0.8606678165582018,-0.8606678165582016,-0.8606678165582013,-0.8606678165582013
2020-05-15,a2c_ppo,a2c,calmar,-0.7788911406742872,1.1292025708167404e-16,-0.7788911406742872,-0.7788911406742872,-0.7788911406742873,-0.7788911406742873
2020-05-18,a2c_ppo,a2c,calmar,-0.7046020475449051,0.0,-0.7046020475449051,-0.7046020475449051,-0.7046020475449051,-0.7046020475449051
2020-05-19,a2c_ppo,a2c,calmar,-0.7778795794890315,3.387607712450221e-16,-0.7778795794890316,-0.7778795794890314,-0.7778795794890319,-0.7778795794890319
2020-05-20,a2c_ppo,a2c,calmar,-0.735460500903734,3.387607712450221e-16,-0.7354605009037342,-0.7354605009037339,-0.7354605009037337,-0.7354605009037337
2020-05-21,a2c_ppo,a2c,calmar,-0.7725568763745526,4.516810283266961e-16,-0.7725568763745528,-0.7725568763745524,-0.7725568763745531,-0.7725568763745531
2020-05-22,a2c_ppo,a2c,calmar,-0.7807691714554122,4.516810283266961e-16,-0.7807691714554125,-0.780769171455412,-0.7807691714554127,-0.7807691714554127
2020-05-26,a2c_ppo,a2c,calmar,-0.7574828103434698,3.387607712450221e-16,-0.7574828103434699,-0.7574828103434696,-0.7574828103434701,-0.7574828103434701
2020-05-27,a2c_ppo,a2c,calmar,-0.6663870687454705,0.0,-0.6663870687454705,-0.6663870687454705,-0.6663870687454705,-0.6663870687454705
2020-05-28,a2c_ppo,a2c,calmar,-0.6356489304679368,3.387607712450221e-16,-0.6356489304679369,-0.6356489304679367,-0.6356489304679365,-0.6356489304679365
2020-05-29,a2c_ppo,a2c,calmar,-0.6028315341585363,3.387607712450221e-16,-0.6028315341585364,-0.6028315341585362,-0.6028315341585366,-0.6028315341585366
2020-06-01,a2c_ppo,a2c,calmar,-0.6259708537133618,0.0,-0.6259708537133618,-0.6259708537133618,-0.6259708537133618,-0.6259708537133618
