date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-05-21,a2c_sac,a2c,sharpe,-1.1566447843703824,2.2584051416334807e-16,-1.1566447843703824,-1.1566447843703824,-1.1566447843703827,-1.1566447843703827
2020-05-22,a2c_sac,a2c,sharpe,-1.3528730354841307,9.033620566533923e-16,-1.3528730354841312,-1.3528730354841303,-1.3528730354841316,-1.3528730354841316
2020-05-25,a2c_sac,a2c,sharpe,-1.3308347850506934,2.2584051416334807e-16,-1.3308347850506934,-1.3308347850506934,-1.3308347850506936,-1.3308347850506936
2020-05-26,a2c_sac,a2c,sharpe,-1.1855547721057242,4.516810283266961e-16,-1.1855547721057245,-1.185554772105724,-1.1855547721057238,-1.1855547721057238
2020-05-27,a2c_sac,a2c,sharpe,-1.230468972361957,4.516810283266961e-16,-1.2304689723619573,-1.2304689723619568,-1.2304689723619566,-1.2304689723619566
2020-05-28,a2c_sac,a2c,sharpe,-1.2019188329559232,4.516810283266961e-16,-1.2019188329559234,-1.201918832955923,-1.2019188329559236,-1.2019188329559236
2020-05-29,a2c_sac,a2c,sharpe,-1.1282654161264316,2.2584051416334807e-16,-1.1282654161264316,-1.1282654161264316,-1.1282654161264314,-1.1282654161264314
2020-06-01,a2c_sac,a2c,sharpe,-0.9810084081921461,2.2584051416334807e-16,-0.9810084081921462,-0.981008408192146,-0.9810084081921463,-0.9810084081921463
2020-06-02,a2c_sac,a2c,sharpe,-0.9755499572657194,3.387607712450221e-16,-0.9755499572657195,-0.9755499572657192,-0.975549957265719,-0.975549957265719
2020-06-03,a2c_sac,a2c,sharpe,-0.8894789604794769,6.775215424900442e-16,-0.8894789604794772,-0.8894789604794767,-0.8894789604794776,-0.8894789604794776
2020-06-04,a2c_sac,a2c,sharpe,-0.9581955509192487,6.775215424900442e-16,-0.9581955509192489,-0.9581955509192485,-0.958195550919248,-0.958195550919248
2020-06-05,a2c_sac,a2c,sharpe,-0.8291701147132419,1.1292025708167404e-16,-0.8291701147132419,-0.8291701147132419,-0.8291701147132418,-0.8291701147132418
2020-06-08,a2c_sac,a2c,sharpe,-0.7971536707054054,3.387607712450221e-16,-0.7971536707054055,-0.7971536707054053,-0.7971536707054051,-0.7971536707054051
2020-06-09,a2c_sac,a2c,sharpe,-0.7133235764881032,1.1292025708167404e-16,-0.7133235764881032,-0.7133235764881032,-0.7133235764881031,-0.7133235764881031
2020-06-10,a2c_sac,a2c,sharpe,-0.7931934271856288,0.0,-0.7931934271856288,-0.7931934271856288,-0.7931934271856288,-0.7931934271856288
2020-06-11,a2c_sac,a2c,sharpe,-0.8400372147522658,5.646012854083701e-16,-0.840037214752266,-0.8400372147522656,-0.8400372147522663,-0.8400372147522663
2020-06-12,a2c_sac,a2c,sharpe,-0.6695919469786776,2.2584051416334807e-16,-0.6695919469786777,-0.6695919469786775,-0.6695919469786779,-0.6695919469786779
2020-06-15,a2c_sac,a2c,sharpe,-0.7343757877142271,0.0,-0.7343757877142271,-0.7343757877142271,-0.7343757877142271,-0.7343757877142271
2020-06-16,a2c_sac,a2c,sharpe,-0.5590324198561413,0.0,-0.5590324198561413,-0.5590324198561413,-0.5590324198561413,-0.5590324198561413
2020-06-17,a2c_sac,a2c,sharpe,-0.6011043153515704,2.2584051416334807e-16,-0.6011043153515705,-0.6011043153515703,-0.6011043153515706,-0.6011043153515706
2020-06-18,a2c_sac,a2c,sharpe,-0.5195463651161911,3.387607712450221e-16,-0.5195463651161912,-0.519546365116191,-0.5195463651161908,-0.5195463651161908
2020-06-19,a2c_sac,a2c,sharpe,-0.3901956600843532,0.0,-0.3901956600843532,-0.3901956600843532,-0.3901956600843532,-0.3901956600843532
2020-06-22,a2c_sac,a2c,sharpe,-0.4745336394639547,1.6938038562251105e-16,-0.47453363946395477,-0.47453363946395466,-0.47453363946395455,-0.47453363946395455
2020-06-23,a2c_sac,a2c,sharpe,-0.43194394319236556,1.6938038562251105e-16,-0.4319439431923656,-0.4319439431923655,-0.43194394319236573,-0.43194394319236573
2020-06-24,a2c_sac,a2c,sharpe,-0.3382849868849272,1.1292025708167404e-16,-0.33828498688492725,-0.33828498688492714,-0.3382849868849271,-0.3382849868849271
2020-06-29,a2c_sac,a2c,sharpe,-0.23780455880563972,8.469019281125553e-17,-0.23780455880563975,-0.2378045588056397,-0.2378045588056398,-0.2378045588056398
2020-06-30,a2c_sac,a2c,sharpe,-0.09069264957762253,4.2345096405627763e-17,-0.09069264957762255,-0.09069264957762252,-0.09069264957762249,-0.09069264957762249
2020-07-01,a2c_sac,a2c,sharpe,0.1441572557180607,1.1292025708167404e-16,0.14415725571806065,0.14415725571806076,0.1441572557180606,0.1441572557180606
2020-07-02,a2c_sac,a2c,sharpe,0.24316306338497376,0.0,0.24316306338497376,0.24316306338497376,0.24316306338497376,0.24316306338497376
2020-07-03,a2c_sac,a2c,sharpe,0.5700762139539909,0.0,0.5700762139539909,0.5700762139539909,0.5700762139539909,0.5700762139539909
2020-07-06,a2c_sac,a2c,sharpe,0.9199212799749398,0.0,0.9199212799749398,0.9199212799749398,0.9199212799749398,0.9199212799749398
